id,titulo,autor,precio,idEditorial
1,Zathin,Deanna Schlagtmans,640,5
2,Zamit,Joellyn Bilverstone,197,3
3,Prodder,Lianne Littefair,402,3
4,Asoka,Lanna Grumley,855,2
5,Daltfresh,Thacher Ors,823,4
6,Bitchip,Torrance Siman,779,4
7,Holdlamis,Alfie Dillingston,692,5
8,Andalax,Reynold Lax,558,2
9,Zamit,Joye Giovannelli,416,4
10,Alpha,Meredeth Creswell,607,2
11,Asoka,Benjie Farnell,473,5
12,Biodex,Chiarra Beatty,863,6
13,It,Mindy Abrey,217,3
14,Fintone,Delmar Reggiani,880,6
15,Zoolab,Clarinda Malkie,666,2
16,Wrapsafe,Cobby Pizzey,900,2
17,Y-find,Kassandra Wolver,496,6
18,Cardguard,Marney Gilhooley,851,3
19,Konklux,Marni Doy,631,6
20,Toughjoyfax,Reggi McPike,411,6
21,Bytecard,Julienne Lunnon,318,6
22,Cardguard,Archie Moffatt,777,5
23,Zaam-Dox,Orella Avramov,402,4
24,Flexidy,Padriac Puckham,787,3
25,Kanlam,Raddie Ganderton,749,1
26,Mat Lam Tam,Nessy Sterry,839,3
27,Fix San,Cathrine Emsley,155,1
28,Zamit,Yuri Beddon,817,3
29,Konklux,Stanfield Beevors,333,3
30,Sonsing,Korey Sisey,874,1
31,Vagram,Vinson Ogglebie,351,6
32,Matsoft,Thurston Trinbey,466,5
33,Konklab,Kane Posse,666,5
34,Overhold,Delaney Brussels,887,3
35,Mat Lam Tam,Nap Domanek,869,1
36,Tempsoft,Ezechiel Ferrario,668,2
37,Alpha,Chelsey Perkin,435,2
38,Konklab,Boonie Pavis,317,3
39,Zontrax,Milton Bozier,861,3
40,Stringtough,Early Rutley,120,4
41,Transcof,Scarlett Bonnar,881,1
42,Ventosanzap,Archibold Greenlies,536,2
43,Pannier,Hillard Siward,428,4
44,Biodex,Farand Morrissey,639,3
45,Stim,Briant Lowsely,175,6
46,Aerified,Moselle Menego,496,2
47,Alphazap,Bar Syplus,772,5
48,Gembucket,Bud Blance,744,6
49,Pannier,Maison Dallemore,475,5
50,Veribet,Taddeo Pittendreigh,409,6
51,Opela,Hillery Hutfield,853,4
52,Alphazap,Eliza Seint,130,1
53,Stronghold,Ario Reubbens,642,5
54,Stim,Henriette Catcheside,193,1
55,Duobam,Even Emms,108,5
56,Pannier,Sibylla McEnery,643,6
57,Subin,Glenden Hovenden,157,4
58,Viva,Tamarah Postill,786,4
59,Veribet,Eldin Iles,752,2
60,Zamit,Rube Mendonca,357,6
61,Zathin,Berthe Cawse,541,3
62,Biodex,Mamie Headington,556,6
63,Opela,Chester Birney,371,6
64,Tresom,Isador Pockey,812,3
65,Fixflex,Daffie Meritt,379,3
66,Opela,Christye MacCaughan,634,3
67,Lotlux,Paige Normaville,839,1
68,Zaam-Dox,Janenna Spiller,310,4
69,Redhold,Boigie Evins,579,3
70,Holdlamis,Leora Sherlock,177,2
71,Greenlam,Halette Simukov,243,4
72,Regrant,Eartha Frossell,527,1
73,Namfix,Lil Nyssens,325,5
74,Span,Leontine Cairns,228,5
75,Flexidy,Muhammad Howels,759,5
76,Konklab,Richart Salmons,230,4
77,Fixflex,Shirlene Ruslin,135,6
78,Zamit,Arman Bullier,180,2
79,Keylex,Raddie Petzolt,656,5
80,Tres-Zap,Christopher Vittery,791,3
81,Kanlam,Alisun Guinery,510,3
82,Otcom,Jasmin Sapsed,884,1
83,Wrapsafe,Matilda Blick,192,1
84,Keylex,Vasily Dainter,279,3
85,Transcof,Edd Marcinkus,812,5
86,Tres-Zap,Aurelea Streater,670,1
87,Greenlam,Cece Mirams,440,2
88,Stim,Quincey Bonett,637,6
89,Temp,Gertie Orvis,596,1
90,Zoolab,Franky Merriton,294,2
91,Cardify,Hannis Bundock,881,2
92,Tampflex,Akim Lideard,750,6
93,Zoolab,Yancy Nasey,196,3
94,Greenlam,Anderea Jachtym,554,6
95,Latlux,Doris Hairsnape,571,1
96,Flexidy,Lauree Mainland,716,3
97,It,Morna Huckfield,185,3
98,Daltfresh,Lela Coxon,890,3
99,Tempsoft,Kelly Abba,527,4
100,Cookley,Lucho Burkinshaw,448,3
